sourcesourceDB,sourceCollection,sourceFieldLocation,sourceDataType,destinationTable,destinationField,destinationDataType,function,meta
accepted-data,address,createdDateTime.d_date,string,address,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,address,declarationId,string,address,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,address,invalidated.dateTime.d_date,string,address,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,address,invalidated.reason,string,address,invalidated_reason,string,, PII:UNKNOWN
accepted-data,address,_id.d_oid,string,address,id,string,,
accepted-data,apa,acceptedDateTime.d_date,string,apa,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,apa,claimElement.contractId,string,apa,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,apa,claimElement.declaredDateTime,string,apa,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,apa,claimElement.effectiveDate.hasDate,boolean,apa,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,apa,claimElement.effectiveDate.knownDate,string,apa,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,apa,claimElement.paymentEffectiveDate.hasDate,boolean,apa,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,apa,claimElement.paymentEffectiveDate.knownDate,string,apa,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,apa,claimElement.alternativeFrequency,string,apa,claimElement_alternativeFrequency,string,, PII:UNKNOWN
accepted-data,apa,claimElement.apaAgreed,boolean,apa,claimElement_apaAgreed,string,, PII:UNKNOWN
accepted-data,apa,claimElement.apaTypes[*],string,apa,claimElement_apaTypes,string,, PII:UNKNOWN
accepted-data,apa,claimElement.directLandlordPaymentDetails.creditorReferenceNumber,string,apa,claimElement_directLandlordPaymentDetails_creditorReferenceNumber,string,, PII:UNKNOWN
accepted-data,apa,claimElement.directLandlordPaymentDetails.landlordApaEmailAddress,string,apa,claimElement_directLandlordPaymentDetails_landlordApaEmailAddress,string,, PII:UNKNOWN
accepted-data,apa,claimElement.directLandlordPaymentDetails.relatedHousingCircumstances,string,apa,claimElement_directLandlordPaymentDetails_relatedHousingCircumstances,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,apa,claimElement.directLandlordPaymentDetails.tenancyId,string,apa,claimElement_directLandlordPaymentDetails_tenancyId,string,, PII:UNKNOWN
accepted-data,apa,claimElement.effectiveDate.type,string,apa,claimElement_effectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,apa,claimElement.effectiveDate.date,string,apa,claimElement_effectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,apa,claimElement.paymentEffectiveDate.type,string,apa,claimElement_paymentEffectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,apa,claimElement.paymentEffectiveDate.date,string,apa,claimElement_paymentEffectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,apa,claimElement.declaredDateTime.d_date,string,apa,claimElement_declaredDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,apa,claimElement.type,string,apa,claimElement_type,string,,JsonTypeName : apa PII:UNKNOWN
accepted-data,apa,createdDateTime.d_date,string,apa,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,apa,declarationId,string,apa,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,apa,invalidated.dateTime.d_date,string,apa,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,apa,invalidated.reason,string,apa,invalidated_reason,string,, PII:UNKNOWN
accepted-data,apa,_id.declarationId,string,apa,id,string,,
accepted-data,bankDetails,acceptedDateTime.d_date,string,bankDetails,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,bankDetails,claimElement.contractId,string,bankDetails,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,bankDetails,claimElement.declaredDateTime,string,bankDetails,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,bankDetails,claimElement.effectiveDate.hasDate,boolean,bankDetails,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,bankDetails,claimElement.effectiveDate.knownDate,string,bankDetails,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,bankDetails,claimElement.paymentEffectiveDate.hasDate,boolean,bankDetails,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,bankDetails,claimElement.paymentEffectiveDate.knownDate,string,bankDetails,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,bankDetails,claimElement.declaredDateTime.d_date,string,bankDetails,claimElement_declaredDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,bankDetails,claimElement.effectiveDate.type,string,bankDetails,claimElement_effectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,bankDetails,claimElement.effectiveDate.date,string,bankDetails,claimElement_effectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,bankDetails,claimElement.ignoreRollNumber,boolean,bankDetails,claimElement_ignoreRollNumber,string,, PII:UNKNOWN
accepted-data,bankDetails,claimElement.paymentEffectiveDate.type,string,bankDetails,claimElement_paymentEffectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,bankDetails,claimElement.paymentEffectiveDate.date,string,bankDetails,claimElement_paymentEffectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,bankDetails,claimElement.type,string,bankDetails,claimElement_type,string,,JsonTypeName : bankDetails PII:UNKNOWN
accepted-data,bankDetails,createdDateTime.d_date,string,bankDetails,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,bankDetails,declarationId,string,bankDetails,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,bankDetails,invalidated.dateTime.d_date,string,bankDetails,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,bankDetails,invalidated.reason,string,bankDetails,invalidated_reason,string,, PII:UNKNOWN
accepted-data,bankDetails,_id.declarationId,string,bankDetails,id,string,,
accepted-data,calculateDeductions,acceptedDateTime.d_date,string,calculateDeductions,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,calculateDeductions,claimElement.contractId,string,calculateDeductions,claimElement_contractId,string,, PII:UNKNOWN
accepted-data,calculateDeductions,claimElement.declaredDateTime,string,calculateDeductions,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,calculateDeductions,claimElement.effectiveDate.hasDate,boolean,calculateDeductions,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,calculateDeductions,claimElement.effectiveDate.knownDate,string,calculateDeductions,claimElement_effectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,calculateDeductions,claimElement.paymentEffectiveDate.hasDate,boolean,calculateDeductions,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,calculateDeductions,claimElement.paymentEffectiveDate.knownDate,string,calculateDeductions,claimElement_paymentEffectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,calculateDeductions,createdDateTime.d_date,string,calculateDeductions,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,calculateDeductions,declarationId,string,calculateDeductions,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,calculateDeductions,invalidated.dateTime.d_date,string,calculateDeductions,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,calculateDeductions,invalidated.reason,string,calculateDeductions,invalidated_reason,string,, PII:UNKNOWN
accepted-data,calculateDeductions,_id.assessmentPeriodId,string,calculateDeductions,id,string,,
accepted-data,capital,acceptedDateTime.d_date,string,capital,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,capital,claimElement.contractId,string,capital,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,capital,claimElement.declaredDateTime,string,capital,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,capital,claimElement.effectiveDate.hasDate,boolean,capital,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,capital,claimElement.effectiveDate.knownDate,string,capital,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,capital,claimElement.paymentEffectiveDate.hasDate,boolean,capital,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,capital,claimElement.paymentEffectiveDate.knownDate,string,capital,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,capital,claimElement.capitalAmount,string,capital,claimElement_capitalAmount,string,,Decimal:java.math.BigDecimal PII:UNKNOWN
accepted-data,capital,claimElement.effectiveDate.type,string,capital,claimElement_effectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,capital,claimElement.effectiveDate.date,string,capital,claimElement_effectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,capital,claimElement.paymentEffectiveDate.type,string,capital,claimElement_paymentEffectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,capital,claimElement.paymentEffectiveDate.date,string,capital,claimElement_paymentEffectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,capital,claimElement.declaredDateTime.d_date,string,capital,claimElement_declaredDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,capital,claimElement.type,string,capital,claimElement_type,string,,JsonTypeName : capital PII:UNKNOWN
accepted-data,capital,createdDateTime.d_date,string,capital,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,capital,declarationId,string,capital,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,capital,invalidated.dateTime.d_date,string,capital,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,capital,invalidated.reason,string,capital,invalidated_reason,string,, PII:UNKNOWN
accepted-data,capital,_id.declarationId,string,capital,id,string,,
accepted-data,carerCircumstances,acceptedDateTime.d_date,string,carerCircumstances,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.contractId,string,carerCircumstances,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.declaredDateTime,string,carerCircumstances,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.effectiveDate.hasDate,boolean,carerCircumstances,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.effectiveDate.knownDate,string,carerCircumstances,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.paymentEffectiveDate.hasDate,boolean,carerCircumstances,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.paymentEffectiveDate.knownDate,string,carerCircumstances,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.addressNumber,string,carerCircumstances,claimElement_careeCircumstances_addressNumber,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.dateOfBirth,string,carerCircumstances,claimElement_careeCircumstances_dateOfBirth,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.firstName,string,carerCircumstances,claimElement_careeCircumstances_firstName,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.lastName,string,carerCircumstances,claimElement_careeCircumstances_lastName,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.middleName,string,carerCircumstances,claimElement_careeCircumstances_middleName,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.postcode,string,carerCircumstances,claimElement_careeCircumstances_postcode,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.relationship,string,carerCircumstances,claimElement_careeCircumstances_relationship,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.careeCircumstances.townCity,string,carerCircumstances,claimElement_careeCircumstances_townCity,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.caringCircumstances.caringForSomeone,boolean,carerCircumstances,claimElement_caringCircumstances_caringForSomeone,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.caringCircumstances.personReceivesBenefit,boolean,carerCircumstances,claimElement_caringCircumstances_personReceivesBenefit,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.claimantId,string,carerCircumstances,claimElement_claimantId,string,,UUID:uk.gov.dwp.universe.identification.ids.ClaimantId PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.declaredDateTime.d_date,string,carerCircumstances,claimElement_declaredDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.effectiveDate.type,string,carerCircumstances,claimElement_effectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.effectiveDate.date,string,carerCircumstances,claimElement_effectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.moreThan35Hours,boolean,carerCircumstances,claimElement_moreThan35Hours,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.otherCaringResponsibilities.caringForSomeoneElse,boolean,carerCircumstances,claimElement_otherCaringResponsibilities_caringForSomeoneElse,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.otherCaringResponsibilities.personReceivesBenefit,boolean,carerCircumstances,claimElement_otherCaringResponsibilities_personReceivesBenefit,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.paymentEffectiveDate.type,string,carerCircumstances,claimElement_paymentEffectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.paymentEffectiveDate.date,string,carerCircumstances,claimElement_paymentEffectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.stoppedCaringCircumstances.dueToDeath,boolean,carerCircumstances,claimElement_stoppedCaringCircumstances_dueToDeath,string,, PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.stoppedCaringCircumstances.stoppedDate,string,carerCircumstances,claimElement_stoppedCaringCircumstances_stoppedDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.timeOffCircumstances.endDate,string,carerCircumstances,claimElement_timeOffCircumstances_endDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.timeOffCircumstances.startDate,string,carerCircumstances,claimElement_timeOffCircumstances_startDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,carerCircumstances,claimElement.type,string,carerCircumstances,claimElement_type,string,,JsonTypeName : carerCircumstances PII:UNKNOWN
accepted-data,carerCircumstances,createdDateTime.d_date,string,carerCircumstances,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carerCircumstances,declarationId,string,carerCircumstances,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,carerCircumstances,invalidated.dateTime.d_date,string,carerCircumstances,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carerCircumstances,invalidated.reason,string,carerCircumstances,invalidated_reason,string,, PII:UNKNOWN
accepted-data,carerCircumstances,_id.d_oid,string,carerCircumstances,id,string,,
accepted-data,carersAllowance,acceptedDateTime.d_date,string,carersAllowance,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carersAllowance,claimElement.contractId,string,carersAllowance,claimElement_contractId,string,, PII:UNKNOWN
accepted-data,carersAllowance,claimElement.declaredDateTime,string,carersAllowance,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,carersAllowance,claimElement.effectiveDate.hasDate,boolean,carersAllowance,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,carersAllowance,claimElement.effectiveDate.knownDate,string,carersAllowance,claimElement_effectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,carersAllowance,claimElement.paymentEffectiveDate.hasDate,boolean,carersAllowance,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,carersAllowance,claimElement.paymentEffectiveDate.knownDate,string,carersAllowance,claimElement_paymentEffectiveDate_knownDate,string,, PII:UNKNOWN
accepted-data,carersAllowance,createdDateTime.d_date,string,carersAllowance,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carersAllowance,declarationId,string,carersAllowance,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,carersAllowance,invalidated.dateTime.d_date,string,carersAllowance,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,carersAllowance,invalidated.reason,string,carersAllowance,invalidated_reason,string,, PII:UNKNOWN
accepted-data,carersAllowance,_id.d_oid,string,carersAllowance,id,string,,
accepted-data,childElementEligibility,acceptedDateTime.d_date,string,childElementEligibility,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.contractId,string,childElementEligibility,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.declaredDateTime,string,childElementEligibility,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.effectiveDate.hasDate,boolean,childElementEligibility,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.effectiveDate.knownDate,string,childElementEligibility,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.paymentEffectiveDate.hasDate,boolean,childElementEligibility,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.paymentEffectiveDate.knownDate,string,childElementEligibility,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.childElementEligibilityDecisions[*].childId,string,childElementEligibility,claimElement_childElementEligibilityDecisions_childId,string,,UUID:uk.gov.dwp.universe.claim.children.ChildId PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.childElementEligibilityDecisions[*].exceptionType,string,childElementEligibility,claimElement_childElementEligibilityDecisions_exceptionType,string,, PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.childElementEligibilityDecisions[*].fullName,string,childElementEligibility,claimElement_childElementEligibilityDecisions_fullName,string,, PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.childElementEligibilityDecisions[*].placementDate,string,childElementEligibility,claimElement_childElementEligibilityDecisions_placementDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.childElementEligibilityDecisions[*].childDateOfBirth,string,childElementEligibility,claimElement_childElementEligibilityDecisions_childDateOfBirth,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.effectiveDate.type,string,childElementEligibility,claimElement_effectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.effectiveDate.date,string,childElementEligibility,claimElement_effectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.paymentEffectiveDate.type,string,childElementEligibility,claimElement_paymentEffectiveDate_type,string,,JsonTypeName : SPECIFIC_EFFECTIVE_DATE PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.paymentEffectiveDate.date,string,childElementEligibility,claimElement_paymentEffectiveDate_date,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.declaredDateTime.d_date,string,childElementEligibility,claimElement_declaredDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,childElementEligibility,claimElement.type,string,childElementEligibility,claimElement_type,string,,JsonTypeName : childElementEligibility PII:UNKNOWN
accepted-data,childElementEligibility,createdDateTime.d_date,string,childElementEligibility,createdDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,childElementEligibility,declarationId,string,childElementEligibility,declarationId,string,,UUID:uk.gov.dwp.universe.declaration.DeclarationId PII:UNKNOWN
accepted-data,childElementEligibility,invalidated.dateTime.d_date,string,childElementEligibility,invalidated_dateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,childElementEligibility,invalidated.reason,string,childElementEligibility,invalidated_reason,string,, PII:UNKNOWN
accepted-data,childElementEligibility,_id.d_oid,string,childElementEligibility,id,string,,
accepted-data,childcare,acceptedDateTime.d_date,string,childcare,acceptedDateTime_d_date,timestamp,,DateTime(ISO-8601/UTC):org.joda.time.DateTime PII:UNKNOWN
accepted-data,childcare,claimElement.contractId,string,childcare,claimElement_contractId,string,,UUID:uk.gov.dwp.universe.claim.ContractId PII:UNKNOWN
accepted-data,childcare,claimElement.declaredDateTime,string,childcare,claimElement_declaredDateTime,string,, PII:UNKNOWN
accepted-data,childcare,claimElement.effectiveDate.hasDate,boolean,childcare,claimElement_effectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,childcare,claimElement.effectiveDate.knownDate,string,childcare,claimElement_effectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childcare,claimElement.paymentEffectiveDate.hasDate,boolean,childcare,claimElement_paymentEffectiveDate_hasDate,string,, PII:UNKNOWN
accepted-data,childcare,claimElement.paymentEffectiveDate.knownDate,string,childcare,claimElement_paymentEffectiveDate_knownDate,string,,Date(yyyymmdd):org.joda.time.LocalDate PII:UNKNOWN
accepted-data,childcare,claimElement.declaredChildcareProviders[*].childcareCosts[*].amountPaid,string,childcare,claimElement_declaredChildcareProviders_childcareCosts_amountPaid,string,,Decimal:java.math.BigDecimal PII:UNKNOWN
accepted-data,childcare,claimElement.declaredChildcareProviders[*].childcareCosts[*].children[*].ageInYears,string,childcare,claimElement_declaredChildcareProviders_childcareCosts_children_ageInYears,string,, PII:UNKNOWN
accepted-data,childcare,claimElement.declaredChildcareProviders[*].childcareCosts[*].children[*].childId,string,childcare,claimElement_declaredChildcareProviders_childcareCosts_children_childId,string,,UUID:uk.gov.dwp.universe.claim.children.ChildId PII:UNKNOWN
accepted-data,childcare,claimElement.declaredChildcareProviders[*].childcareCosts[*].children[*].firstName,string,childcare,claimElement_declaredChildcareProviders_childcareCosts_children_firstName,string,, PII:UNKNOWN
accepted-data,childcare,claimElement.declaredChildcareProviders[*].childcareCosts[*].children[*].gender,string,childcare,claimElement_declaredChildcareProviders_childcareCosts_children_gender,string,, PII:UNKNOWN
